2.5618 0.482124 1.2351 2.5618 0.488009 1.25018 1.25018
2.58578 0.475526 1.22961 2.58578 0.480235 1.24178 1.24178
2.60982 0.469091 1.22424 2.60982 0.472804 1.23393 1.23393
2.63392 0.462812 1.21901 2.63392 0.465695 1.2266 1.2266
2.65808 0.456685 1.2139 2.65808 0.458883 1.21975 1.21975
2.68228 0.450706 1.20892 2.68228 0.452347 1.21332 1.21332
2.70654 0.44487 1.20406 2.70654 0.446067 1.2073 1.2073
2.73084 0.439173 1.19931 2.73084 0.440021 1.20163 1.20163
2.75518 0.433611 1.19468 2.75518 0.434192 1.19628 1.19628
2.77956 0.42818 1.19015 2.77956 0.428563 1.19121 1.19121
2.80397 0.422876 1.18573 2.80397 0.423116 1.1864 1.1864
2.82841 0.417696 1.18141 2.82841 0.417837 1.18181 1.18181
2.85287 0.412636 1.1772 2.85287 0.412712 1.17741 1.17741
2.87736 0.407692 1.17308 2.87736 0.407729 1.17318 1.17318
2.90186 0.402862 1.16905 2.90186 0.402877 1.1691 1.1691
2.92639 0.398143 1.16512 2.92639 0.398147 1.16513 1.16513
2.95092 0.39353 1.16128 2.95092 0.393531 1.16128 1.16128
2.97546 0.389022 1.15752 2.97546 0.389022 1.15752 1.15752
3 0.384615 1.15385 3 0.384615 1.15385 1.15385
3.02454 0.380307 1.15026 3.02454 0.380307 1.15026 1.15026
3.04908 0.376096 1.14675 3.04908 0.376096 1.14675 1.14675
3.07361 0.371977 1.14331 3.07361 0.371982 1.14333 1.14333
3.09814 0.36795 1.13996 3.09814 0.367965 1.14001 1.14001
3.12264 0.364011 1.13668 3.12264 0.364048 1.13679 1.13679
3.14713 0.360159 1.13347 3.14713 0.360236 1.13371 1.13371
3.17159 0.35639 1.13033 3.17159 0.356534 1.13078 1.13078
3.19603 0.352704 1.12725 3.19603 0.352948 1.12803 1.12803
3.22044 0.349097 1.12425 3.22044 0.349488 1.12551 1.12551
3.24482 0.345568 1.12131 3.24482 0.346164 1.12324 1.12324
3.26916 0.342115 1.11843 3.26916 0.342986 1.12128 1.12128
3.29346 0.338736 1.11561 3.29346 0.339968 1.11967 1.11967
3.31772 0.335429 1.11286 3.31772 0.337123 1.11848 1.11848
3.34192 0.332192 1.11016 3.34192 0.334467 1.11776 1.11776
3.36608 0.329024 1.10752 3.36608 0.332015 1.11759 1.11759
3.39018 0.325922 1.10494 3.39018 0.329786 1.11804 1.11804
3.41422 0.322886 1.10241 3.41422 0.327798 1.11918 1.11918
